CLIENTE,ultimo_año,ultimo_mes,frecuencia,valor_monetario,unidades_totales,recency_meses
1100468,2024,5,6,645000,7,11
2881484,2024,11,6,482600,6,5
4043312,2025,2,1,68000,1,2
4117002,2025,12,64,56880500,589,-8
4119727,2025,11,16,5248000,60,-7
4123343,2024,10,9,1122000,15,6
4143843,2024,8,4,450000,5,8
4144476,2024,9,2,252000,2,7
4208254,2024,9,4,282000,4,7
4210992,2025,11,8,1112500,14,-7
4211190,2025,9,16,1346000,18,-5
4218315,2024,9,4,414000,5,7
4272458,2025,12,10,1004000,16,-8
4272485,2025,9,6,477000,6,-5
7125529,2025,12,19,2473000,24,-8
7126611,2024,10,4,744000,9,6
7126704,2024,7,1,624000,3,9
9127218,2025,12,59,37785500,304,-8
9395832,2024,12,12,5318000,30,4
9395888,2025,2,1,268000,1,2
9396543,2025,11,3,217000,3,-7
9397177,2024,6,1,100000,1,10
9397589,2025,12,12,4397000,50,-8
9399415,2025,3,1,38000,1,1
9399579,2024,10,3,321000,3,6
9518455,2025,8,3,335000,3,-4
9518629,2025,4,1,172000,2,0
9519166,2024,11,1,95000,1,5
9521951,2025,4,13,18591000,235,0
9522649,2024,6,5,618000,7,10
9524221,2025,12,20,2848000,32,-8
9525427,2025,10,18,25923000,355,-6
9527933,2025,12,45,5715000,76,-8
9529885,2024,11,4,763000,4,5
9531884,2025,12,10,1139000,10,-8
9532024,2024,8,3,2768000,14,8
9533467,2025,3,1,100000,1,1
9533772,2024,9,2,156000,4,7
9534538,2025,12,22,14658000,162,-8
9636255,2024,12,2,286000,3,4
17037305,2025,12,47,17333000,231,-8
17580559,2024,10,4,23894000,288,6
18004655,2025,12,2,208000,2,-8
19183672,2024,8,2,207000,2,8
22222222,2025,12,1789,3042601676,30058,-8
23943406,2024,8,3,176000,4,8
23965066,2025,2,1,225000,3,2
24113253,2025,12,12,1472000,17,-8
32691319,2025,3,4,369000,4,1
33448889,2025,11,35,4962000,58,-7
40022620,2025,12,10,5168000,35,-8
40024449,2025,4,1,100000,1,0
46360295,2025,4,1,89000,1,0
46367408,2024,6,3,196000,3,10
46368837,2025,8,4,1703000,18,-4
46369913,2025,3,1,87000,1,1
46375504,2024,9,1,1680000,20,7
46376087,2024,12,8,621000,10,4
46376488,2025,10,15,1526000,20,-6
46379189,2024,11,1,78000,1,5
46383319,2025,12,4,310000,4,-8
46385688,2024,11,2,426000,2,5
46455258,2024,6,1,204000,2,10
47428820,2025,12,12,4831000,58,-8
52824658,2024,10,15,1933000,20,6
74080111,2025,4,1,190000,1,0
74081683,2025,12,11,1491000,12,-8
74081720,2024,5,1,107000,1,11
74083883,2025,12,49,23703928,147,-8
74084607,2025,12,18,2640000,22,-8
74180038,2024,8,3,309000,4,8
74181266,2025,12,9,2536000,26,-8
74183098,2025,12,8,1438000,21,-8
74183747,2025,11,3,306000,3,-7
74183961,2025,12,20,15361000,198,-8
74185696,2024,10,1,105000,1,6
74185872,2025,12,6,763000,9,-8
74186547,2024,9,2,398000,4,7
74186654,2025,12,8,1014000,12,-8
74186966,2025,4,1,93000,1,0
74188527,2025,12,14,2273500,32,-8
74189373,2025,2,1,176000,2,2
74189925,2025,3,2,242000,4,1
74381736,2024,11,1,267000,3,5
74389624,2025,4,1,125000,1,0
79434226,2024,11,1,4320000,48,5
79448876,2024,6,1,66000,1,10
79555896,2024,7,8,6524000,102,9
79883826,2025,3,1,348000,4,1
79949878,2024,5,1,77000,1,11
80765857,2024,6,1,84000,1,10
741870161,2024,9,6,310000,6,7
800112602,2025,4,1,65000,1,0
826002169,2025,2,1,554000,2,2
826002633,2025,12,29,1813500,31,-8
860006745,2025,12,5,5105000,40,-8
900092905,2024,11,78,21852600,195,5
900147227,2025,12,15,1597000,24,-8
900199719,2025,12,15,1580000,27,-8
900307417,2024,7,1,96000,16,9
900341686,2024,5,2,320000,4,11
900399098,2024,10,2,252000,2,6
900400560,2025,9,5,742000,6,-5
900540120,2025,4,4,444000,4,0
900582197,2024,8,1,67000,1,8
900707466,2024,5,2,1528000,11,11
900882573,2024,9,6,712000,6,7
901001654,2025,4,2,435000,5,0
901040704,2025,11,10,1445000,11,-7
901206877,2025,12,41,5840000,64,-8
901232690,2024,6,4,272000,4,10
901283723,2025,11,5,628000,5,-7
901448076,2024,9,3,720000,6,7
901591495,2025,12,18,3795000,43,-8
901624441,2024,9,1,2250000,25,7
901624523,2025,12,35,51036000,574,-8
901632337,2024,8,1,2241000,27,8
901672869,2024,5,1,200000,1,11
901675833,2025,1,3,238000,3,3
901709156,2024,10,2,288000,2,6
901728676,2025,4,4,1466000,10,0
901738460,2025,1,1,105000,1,3
901786502,2024,11,6,36341000,475,5
901795156,2025,12,27,5075000,51,-8
901807634,2025,12,5,353000,5,-8
901811583,2024,8,2,1696000,8,8
901858234,2025,4,8,1008000,13,0
901859186,2025,3,2,208000,2,1
939777122,2024,9,1,105000,1,7
1007382853,2025,11,7,3598000,24,-7
1014209643,2024,8,2,12970000,154,8
1049629064,2024,10,7,1030000,13,6
1049656251,2024,5,4,7703000,38,11
1051474093,2024,10,3,228000,3,6
1051588968,2025,12,19,1562000,23,-8
1051590093,2024,12,5,445000,5,4
1051590555,2024,7,3,336000,6,9
1052383026,2025,4,1,152000,1,0
1053585126,2024,6,1,85000,1,10
1053585696,2025,12,4,531000,7,-8
1057578112,2025,4,7,987000,10,0
1057579440,2025,12,144,26644500,328,-8
1057581927,2024,6,1,163000,1,10
1057584144,2024,6,3,305000,3,10
1057594909,2025,2,1,972000,6,2
1057596377,2025,12,45,6436000,81,-8
1057600244,2025,12,7,474500,8,-8
1057602170,2024,6,1,315000,3,10
1057603666,2025,10,50,9289500,140,-6
1057607941,2025,3,1,435000,5,1
8260002612,2025,11,33,4746500,61,-7
9003246621,2024,9,1,245000,1,7
9007889571,2025,10,21,1957000,23,-6
9010014511,2024,9,11,1028000,12,7
